date,humi,temp_ext,temp2,temp3,masse
2018-03-10 12:01:00,98.08,13.81,18.43,24.37,35224.87
2018-03-10 13:00:00,74.03,15.03,22.04,27.0,35163.59
2018-03-10 14:00:00,60.16,16.27,24.58,29.07,35128.0
2018-03-10 15:01:00,59.95,17.77,26.19,29.72,35084.0
2018-03-10 16:01:00,64.24,16.28,26.92,29.28,35062.27
2018-03-11 14:36:00,57.86,15.91,27.1,29.85,35040.33
2018-03-11 15:01:00,77.51,18.4,27.38,30.22,34645.33
2018-03-11 16:01:00,76.71,17.36,27.4,30.17,34663.6
2018-03-12 16:55:00,78.22,16.35,27.18,30.14,34678.86
2018-03-12 17:00:00,89.25,10.81,25.38,28.65,34626.0
2018-03-12 18:01:00,88.01,10.86,25.09,28.35,34619.07
2018-03-12 19:01:00,86.24,10.27,24.8,28.42,34606.53
2018-03-12 20:00:00,86.23,8.96,24.46,28.33,34569.38
2018-03-12 21:00:00,92.51,8.06,23.97,28.09,34545.07
2018-03-12 22:00:00,93.41,7.25,23.51,27.53,34524.4
2018-03-13 09:46:00,88.67,6.61,23.17,27.29,34507.71
2018-03-13 10:00:00,90.12,10.52,21.41,26.1,34512.0
2018-03-13 11:00:00,84.93,11.27,21.91,26.27,34485.73
2018-03-13 12:01:00,73.99,12.81,22.54,26.53,34452.8
2018-03-13 13:01:00,68.54,12.53,23.19,26.68,34503.47
2018-03-13 14:01:00,75.5,12.83,23.64,26.72,34465.33
2018-03-13 16:14:00,77.66,13.95,24.25,26.89,34406.61
2018-03-13 18:25:00,64.6,11.81,24.47,26.6,34472.0
2018-03-13 19:00:00,76.83,9.53,23.67,25.92,34411.06
2018-03-13 20:12:00,73.74,8.64,23.38,25.78,34396.29
2018-03-13 21:01:00,75.92,7.4,22.63,25.26,34384.17
2018-03-13 22:00:00,73.83,6.99,22.13,25.12,34385.66
2018-03-14 07:23:00,72.0,6.81,21.94,25.1,34384.0
2018-03-14 08:00:00,82.87,2.55,17.41,21.88,34317.33
2018-03-14 09:34:00,76.02,3.63,17.26,21.58,34357.09
2018-03-14 10:01:00,90.98,7.29,17.68,21.92,34427.08
2018-03-14 13:20:00,93.53,8.78,18.18,22.37,34395.65
2018-03-14 14:01:00,79.7,16.73,20.73,24.35,34211.0
2018-03-14 17:53:00,74.91,18.12,22.39,25.76,34154.4
2018-03-14 18:08:00,69.4,13.31,23.75,25.45,34198.0
2018-03-14 19:01:00,72.17,12.56,23.78,29.49,34142.36
2018-03-14 20:00:00,70.17,11.54,25.22,31.12,34112.89
2018-03-14 21:00:00,71.87,10.79,26.07,31.95,34097.33
2018-03-14 22:01:00,69.87,10.34,26.26,32.25,34097.47
2018-03-14 23:01:00,70.7,10.35,26.2,32.33,34085.6
2018-03-15 00:00:00,72.31,10.51,25.94,32.1,34112.83
2018-03-15 01:00:00,66.74,10.57,25.53,31.31,34098.0
2018-03-15 02:01:00,66.99,10.7,25.34,31.62,34093.87
2018-03-15 03:01:00,69.62,10.92,25.3,30.94,34092.8
2018-03-15 04:00:00,68.97,11.06,25.31,30.72,34090.76
2018-03-15 05:00:00,71.35,11.19,25.38,30.71,34082.53
2018-03-15 06:00:00,70.62,11.21,25.25,30.73,34067.73
2018-03-15 07:01:00,70.64,11.22,25.15,30.6,34050.67
2018-03-15 08:01:00,72.58,11.28,25.2,30.43,34038.27
2018-03-15 09:00:00,81.41,11.65,25.53,30.49,34038.21
2018-03-15 10:00:00,82.36,9.48,25.58,30.3,34121.87
2018-03-16 13:20:00,82.29,8.39,25.35,30.33,34134.5
2018-03-16 14:01:00,81.83,12.02,22.88,28.39,34136.8
2018-03-16 15:00:00,84.97,10.09,22.99,28.31,34167.31
2018-03-16 16:00:00,84.94,8.4,22.52,28.22,34144.8
2018-03-16 17:01:00,83.12,8.03,22.01,28.46,34170.4
